persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,split,distractor_persona_item,distractor_category
Values cooking as an act of love and family care,home cooking and food,0.71,implicit_positive,200849,1775396546,"13:42, 04/05/2026","[""#DrinkRecipe"", ""#Foodie"", ""#HomemadeWithLove""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Values cooking as an act of love and family care"", ""type"": ""similar""}]",stereotypical,train,,
Has a sweet tooth and enjoys desserts,home cooking and food,0.6,implicit_positive,200849,1775396546,"13:42, 04/05/2026","[""#DrinkRecipe"", ""#Foodie"", ""#HomemadeWithLove""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Has a sweet tooth and enjoys desserts"", ""type"": ""similar""}]",neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.78,implicit_positive,200849,1775396546,"13:42, 04/05/2026","[""#LemonadeLove""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.72,implicit_positive,200849,1775396546,"13:42, 04/05/2026","[""#LemonadeLove""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.66,implicit_positive,200849,1775396546,"13:42, 04/05/2026","[""#LemonadeLove""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.65,implicit_positive,200849,1775396546,"13:42, 04/05/2026","[""#LemonadeLove""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
Enjoys content celebrating involved fatherhood,fatherhood and dad culture,0.55,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#daddiesgirl""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys content celebrating involved fatherhood"", ""type"": ""similar""}]",neutral,train,,
Appreciates dad-oriented humor and family interplay,fatherhood and dad culture,0.58,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#daddiesgirl""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates dad-oriented humor and family interplay"", ""type"": ""similar""}]",neutral,train,,
Centers family togetherness as a core value,family bonding and togetherness,0.83,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#familyfun"", ""#familygoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Centers family togetherness as a core value"", ""type"": ""similar""}]",stereotypical,train,,
Enjoys wholesome family-activity content,family bonding and togetherness,0.75,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#familyfun"", ""#familygoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys wholesome family-activity content"", ""type"": ""similar""}]",neutral,train,,
Aspires to strong family traditions and shared routines,family bonding and togetherness,0.71,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#familyfun"", ""#familygoals""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Aspires to strong family traditions and shared routines"", ""type"": ""similar""}]",stereotypical,train,,
"Enjoys wholesome, heartwarming feel-good content",heartwarming and feel-good content,0.75,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#heartwarming"", ""#love""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys wholesome, heartwarming feel-good content"", ""type"": ""similar""}]",neutral,train,,
Responds emotionally to touching or inspirational stories,heartwarming and feel-good content,0.61,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#heartwarming"", ""#love""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Responds emotionally to touching or inspirational stories"", ""type"": ""similar""}]",neutral,train,,
Seeks practical parenting tips and hacks,parenting and child-rearing,0.7,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#parenting""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Seeks practical parenting tips and hacks"", ""type"": ""similar""}]",neutral,train,,
Enjoys humor that pokes fun at the chaos of parenting,parenting and child-rearing,0.72,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#parenting""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys humor that pokes fun at the chaos of parenting"", ""type"": ""similar""}]",neutral,train,,
Feels validated by content about parenting struggles,parenting and child-rearing,0.65,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#parenting""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Feels validated by content about parenting struggles"", ""type"": ""similar""}]",neutral,train,,
Looks for relatable everyday parenting stories,parenting and child-rearing,0.7,implicit_positive,866520,1775396612,"13:43, 04/05/2026","[""#parenting""]",Instagram: stayed on a story for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Looks for relatable everyday parenting stories"", ""type"": ""similar""}]",neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.81,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#couplelife"", ""#relationshipgoals""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.75,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#couplelife"", ""#relationshipgoals""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.69,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#couplelife"", ""#relationshipgoals""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.68,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#couplelife"", ""#relationshipgoals""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
Invested in self-care routines and self-expression,self-care and personal wellness,0.68,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#positivityvibes""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Invested in self-care routines and self-expression"", ""type"": ""similar""}]",neutral,train,,
Believes confidence and positivity are important daily practices,self-care and personal wellness,0.62,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#positivityvibes""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Believes confidence and positivity are important daily practices"", ""type"": ""similar""}]",neutral,train,,
Looks for motivational and personal-growth content,self-care and personal wellness,0.6,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#positivityvibes""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Looks for motivational and personal-growth content"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#lightheartedmoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#lightheartedmoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#lightheartedmoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,265918,1775396627,"13:43, 04/05/2026","[""#lightheartedmoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.87,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#busymom"", ""#momhacks"", ""#momlife""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Actively engaged in daily motherhood experiences"", ""type"": ""similar""}]",stereotypical,train,,
Parenting young children at home,motherhood and parenting,0.83,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#busymom"", ""#momhacks"", ""#momlife""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Parenting young children at home"", ""type"": ""similar""}]",neutral,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.8,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#busymom"", ""#momhacks"", ""#momlife""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows mom-oriented lifestyle content creators"", ""type"": ""similar""}]",neutral,train,,
"Values sharing candid, real-life parenting moments",motherhood and parenting,0.73,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#busymom"", ""#momhacks"", ""#momlife""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values sharing candid, real-life parenting moments"", ""type"": ""similar""}]",neutral,train,,
Identifies strongly with a community of mothers online,motherhood and parenting,0.77,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#busymom"", ""#momhacks"", ""#momlife""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Identifies strongly with a community of mothers online"", ""type"": ""similar""}]",neutral,train,,
Has or is close to young children and infants,babies and young children,0.76,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#toddlermom""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Has or is close to young children and infants"", ""type"": ""similar""}]",neutral,train,,
Finds joy in sharing everyday moments of toddlers,babies and young children,0.65,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#toddlermom""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds joy in sharing everyday moments of toddlers"", ""type"": ""similar""}]",neutral,train,,
Likely a parent navigating the early-childhood years,babies and young children,0.72,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#toddlermom""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Likely a parent navigating the early-childhood years"", ""type"": ""similar""}]",neutral,train,,
Enjoys home cooking and preparing family meals,home cooking and food,0.83,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#affordablemeals"", ""#dinnerinspiration"", ""#easydinnerideas""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys home cooking and preparing family meals"", ""type"": ""similar""}]",stereotypical,train,,
Seeks easy recipe inspiration online,home cooking and food,0.77,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#affordablemeals"", ""#dinnerinspiration"", ""#easydinnerideas""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Seeks easy recipe inspiration online"", ""type"": ""similar""}]",neutral,train,,
Appreciates food content that feels homemade and wholesome,home cooking and food,0.73,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#affordablemeals"", ""#dinnerinspiration"", ""#easydinnerideas""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates food content that feels homemade and wholesome"", ""type"": ""similar""}]",neutral,train,,
Values cooking as an act of love and family care,home cooking and food,0.71,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#affordablemeals"", ""#dinnerinspiration"", ""#easydinnerideas""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values cooking as an act of love and family care"", ""type"": ""similar""}]",stereotypical,train,,
Has a sweet tooth and enjoys desserts,home cooking and food,0.6,implicit_positive,368314,1775396721,"13:45, 04/05/2026","[""#affordablemeals"", ""#dinnerinspiration"", ""#easydinnerideas""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Has a sweet tooth and enjoys desserts"", ""type"": ""similar""}]",neutral,train,,
Works in or is connected to healthcare (likely CNA or nursing),CNA and healthcare worker culture,0.73,implicit_positive,17803,1775396722,"13:45, 04/05/2026","[""#CNAlife"", ""#cnalife"", ""#healthcarehumor""]",Facebook: stayed on a post for more than 5 seconds,0.3,similar,"[{""persona_item"": ""Works in or is connected to healthcare (likely CNA or nursing)"", ""type"": ""similar""}]",neutral,train,,
Uses humor as a coping mechanism for healthcare work,CNA and healthcare worker culture,0.67,implicit_positive,17803,1775396722,"13:45, 04/05/2026","[""#CNAlife"", ""#cnalife"", ""#healthcarehumor""]",Facebook: stayed on a post for more than 5 seconds,0.3,similar,"[{""persona_item"": ""Uses humor as a coping mechanism for healthcare work"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.83,implicit_positive,17803,1775396722,"13:45, 04/05/2026","[""#healthcarecomedy"", ""#medicalmemes""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.81,implicit_positive,17803,1775396722,"13:45, 04/05/2026","[""#healthcarecomedy"", ""#medicalmemes""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.65,implicit_positive,17803,1775396722,"13:45, 04/05/2026","[""#healthcarecomedy"", ""#medicalmemes""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.63,implicit_positive,17803,1775396722,"13:45, 04/05/2026","[""#healthcarecomedy"", ""#medicalmemes""]",Facebook: stayed on a post for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Seeks practical parenting tips and hacks,parenting and child-rearing,0.7,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#parentinglife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Seeks practical parenting tips and hacks"", ""type"": ""similar""}]",neutral,train,,
Enjoys humor that pokes fun at the chaos of parenting,parenting and child-rearing,0.72,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#parentinglife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys humor that pokes fun at the chaos of parenting"", ""type"": ""similar""}]",neutral,train,,
Feels validated by content about parenting struggles,parenting and child-rearing,0.65,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#parentinglife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Feels validated by content about parenting struggles"", ""type"": ""similar""}]",neutral,train,,
Looks for relatable everyday parenting stories,parenting and child-rearing,0.7,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#parentinglife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Looks for relatable everyday parenting stories"", ""type"": ""similar""}]",neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.82,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#momlife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Actively engaged in daily motherhood experiences"", ""type"": ""similar""}]",stereotypical,train,,
Parenting young children at home,motherhood and parenting,0.78,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#momlife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Parenting young children at home"", ""type"": ""similar""}]",neutral,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.75,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#momlife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows mom-oriented lifestyle content creators"", ""type"": ""similar""}]",neutral,train,,
"Values sharing candid, real-life parenting moments",motherhood and parenting,0.68,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#momlife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values sharing candid, real-life parenting moments"", ""type"": ""similar""}]",neutral,train,,
Identifies strongly with a community of mothers online,motherhood and parenting,0.72,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#momlife""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Identifies strongly with a community of mothers online"", ""type"": ""similar""}]",neutral,train,,
Has or is close to young children and infants,babies and young children,0.79,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#babytalk"", ""#funnykids""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Has or is close to young children and infants"", ""type"": ""similar""}]",neutral,train,,
Finds joy in sharing everyday moments of toddlers,babies and young children,0.68,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#babytalk"", ""#funnykids""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds joy in sharing everyday moments of toddlers"", ""type"": ""similar""}]",neutral,train,,
Likely a parent navigating the early-childhood years,babies and young children,0.75,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#babytalk"", ""#funnykids""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Likely a parent navigating the early-childhood years"", ""type"": ""similar""}]",neutral,train,,
Gravitates toward content that mirrors everyday life experiences,relatable everyday content,0.72,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#relatablemoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Gravitates toward content that mirrors everyday life experiences"", ""type"": ""similar""}]",neutral,train,,
Finds comfort in 'that's so me' style posts,relatable everyday content,0.65,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#relatablemoments""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds comfort in 'that's so me' style posts"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#humor""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#humor""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#humor""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,325746,1775396748,"13:45, 04/05/2026","[""#humor""]",Facebook: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Seeks practical parenting tips and hacks,parenting and child-rearing,0.7,implicit_positive,635176,1775396762,"13:46, 04/05/2026","[""#petparents""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Seeks practical parenting tips and hacks"", ""type"": ""similar""}]",neutral,train,,
Enjoys humor that pokes fun at the chaos of parenting,parenting and child-rearing,0.72,implicit_positive,635176,1775396762,"13:46, 04/05/2026","[""#petparents""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys humor that pokes fun at the chaos of parenting"", ""type"": ""similar""}]",neutral,train,,
Feels validated by content about parenting struggles,parenting and child-rearing,0.65,implicit_positive,635176,1775396762,"13:46, 04/05/2026","[""#petparents""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Feels validated by content about parenting struggles"", ""type"": ""similar""}]",neutral,train,,
Looks for relatable everyday parenting stories,parenting and child-rearing,0.7,implicit_positive,635176,1775396762,"13:46, 04/05/2026","[""#petparents""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Looks for relatable everyday parenting stories"", ""type"": ""similar""}]",neutral,train,,
Uses humor content as a mood-lifter throughout the day,comedy and humor content,0.8,implicit_positive,635176,1775396762,"13:46, 04/05/2026","[""#funnyanimals""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Uses humor content as a mood-lifter throughout the day"", ""type"": ""similar""}]",neutral,train,,
Enjoys short-form comedy reels and viral funny clips,comedy and humor content,0.78,implicit_positive,635176,1775396762,"13:46, 04/05/2026","[""#funnyanimals""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Enjoys short-form comedy reels and viral funny clips"", ""type"": ""similar""}]",neutral,train,,
"Appreciates wholesome, light-hearted humor over edgy comedy",comedy and humor content,0.62,implicit_positive,635176,1775396762,"13:46, 04/05/2026","[""#funnyanimals""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Appreciates wholesome, light-hearted humor over edgy comedy"", ""type"": ""similar""}]",neutral,train,,
Follows comedy creators and prank content,comedy and humor content,0.6,implicit_positive,635176,1775396762,"13:46, 04/05/2026","[""#funnyanimals""]",Threads: stayed on a thread for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows comedy creators and prank content"", ""type"": ""similar""}]",neutral,train,,
Deeply invested in hair care and styling routines,hair care and styling,0.8,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#firsthaircut""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Deeply invested in hair care and styling routines"", ""type"": ""similar""}]",neutral,train,,
Follows hairstylists and salon professionals,hair care and styling,0.75,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#firsthaircut""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows hairstylists and salon professionals"", ""type"": ""similar""}]",neutral,train,,
Interested in protective natural hair styles like braids and weaves,hair care and styling,0.7,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#firsthaircut""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Interested in protective natural hair styles like braids and weaves"", ""type"": ""similar""}]",anti-stereotypical,train,,
Likely wears or appreciates Black hair styling traditions,hair care and styling,0.6,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#firsthaircut""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Likely wears or appreciates Black hair styling traditions"", ""type"": ""similar""}]",anti-stereotypical,train,,
Sees hair styling as a form of self-expression,hair care and styling,0.68,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#firsthaircut""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Sees hair styling as a form of self-expression"", ""type"": ""similar""}]",neutral,train,,
Actively engaged in daily motherhood experiences,motherhood and parenting,0.82,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#proudmom""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Actively engaged in daily motherhood experiences"", ""type"": ""similar""}]",stereotypical,train,,
Parenting young children at home,motherhood and parenting,0.78,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#proudmom""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Parenting young children at home"", ""type"": ""similar""}]",neutral,train,,
Follows mom-oriented lifestyle content creators,motherhood and parenting,0.75,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#proudmom""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Follows mom-oriented lifestyle content creators"", ""type"": ""similar""}]",neutral,train,,
"Values sharing candid, real-life parenting moments",motherhood and parenting,0.68,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#proudmom""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Values sharing candid, real-life parenting moments"", ""type"": ""similar""}]",neutral,train,,
Identifies strongly with a community of mothers online,motherhood and parenting,0.72,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#proudmom""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Identifies strongly with a community of mothers online"", ""type"": ""similar""}]",neutral,train,,
Has or is close to young children and infants,babies and young children,0.79,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#babyboy"", ""#kidsofinstagram""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Has or is close to young children and infants"", ""type"": ""similar""}]",neutral,train,,
Finds joy in sharing everyday moments of toddlers,babies and young children,0.68,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#babyboy"", ""#kidsofinstagram""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Finds joy in sharing everyday moments of toddlers"", ""type"": ""similar""}]",neutral,train,,
Likely a parent navigating the early-childhood years,babies and young children,0.75,implicit_positive,404266,1775396794,"13:46, 04/05/2026","[""#babyboy"", ""#kidsofinstagram""]",Instagram: stayed on an image for more than 5 seconds,1.0,similar,"[{""persona_item"": ""Likely a parent navigating the early-childhood years"", ""type"": ""similar""}]",neutral,train,,
Invested in romantic relationship content,romantic couple relationships,0.83,implicit_positive,601152,1775396814,"13:46, 04/05/2026","[""#couplegoals"", ""#datinglife"", ""#relationshipgoals""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Invested in romantic relationship content"", ""type"": ""similar""}]",neutral,train,,
Values long-term committed partnerships,romantic couple relationships,0.77,implicit_positive,601152,1775396814,"13:46, 04/05/2026","[""#couplegoals"", ""#datinglife"", ""#relationshipgoals""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Values long-term committed partnerships"", ""type"": ""similar""}]",neutral,train,,
Enjoys aspirational couple imagery and moments,romantic couple relationships,0.71,implicit_positive,601152,1775396814,"13:46, 04/05/2026","[""#couplegoals"", ""#datinglife"", ""#relationshipgoals""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Enjoys aspirational couple imagery and moments"", ""type"": ""similar""}]",neutral,train,,
Finds humor in everyday couple dynamics,romantic couple relationships,0.7,implicit_positive,601152,1775396814,"13:46, 04/05/2026","[""#couplegoals"", ""#datinglife"", ""#relationshipgoals""]",Facebook: viewed more than 75% of the video,1.0,similar,"[{""persona_item"": ""Finds humor in everyday couple dynamics"", ""type"": ""similar""}]",neutral,train,,
